date,sunshine_hr,humidity_mean,temp_min,temp_mean,temp_max,temp_range
2007-12-21,9.924716666666669,13.0,13.8,20.925,28.7,14.9
2007-12-22,9.933044444444445,14.833333333333334,12.9,19.85,26.9,13.999999999999998
2007-12-23,9.941563888888888,14.166666666666666,12.7,19.733333333333334,27.2,14.5
2007-12-24,9.95025,15.375,11.4,18.866666666666667,26.3,14.9
2007-12-25,9.959080555555555,17.541666666666668,10.8,17.8625,25.4,14.599999999999998
2007-12-26,9.968030555555556,31.833333333333332,9.4,15.695833333333333,21.6,12.2
2007-12-27,9.97707777777778,34.458333333333336,7.0,14.375,21.6,14.6
2007-12-28,9.986280555555556,25.75,5.0,14.141666666666666,22.4,17.4
2007-12-29,9.99585,36.75,8.8,14.733333333333334,20.6,11.8
2007-12-30,10.0,40.5,6.5,11.7875,17.750000000000004,10.2
2007-12-31,9.849908333333332,36.666666666666664,5.9,11.5375,17.8,11.9
2008-01-01,10.0,42.0,5.3,12.208333333333334,19.1,13.8
2008-01-02,10.0,28.791666666666668,5.2,12.279166666666669,19.8,14.6
2008-01-03,10.0,24.875,3.8,12.7625,21.3,17.5
2008-01-04,10.0,29.208333333333332,4.0,12.970833333333331,21.0,17.0
2008-01-05,10.0,37.083333333333336,7.8,13.15,18.5,10.7
2008-01-06,10.0,42.39583333333333,8.0,12.170833333333334,16.4,8.649999999999997
2008-01-07,10.0,42.39583333333333,6.3,11.908333333333331,17.5,11.2
2008-01-08,10.0,42.39583333333333,5.6,12.2625,18.6,13.000000000000002
2008-01-09,10.0,42.39583333333333,8.5,14.1,20.4,11.9
2008-01-10,10.0,41.958333333333336,6.3,14.783333333333331,22.6,16.3
2008-01-11,10.0,38.875,6.0,14.95,22.4,16.4
2008-01-12,10.0,38.291666666666664,6.3,15.15,22.7,16.4
2008-01-13,10.0,33.791666666666664,7.5,15.6875,23.1,15.6
2008-01-14,10.007475,28.416666666666668,9.5,16.370833333333334,23.6,14.1
2008-01-15,9.938074999999998,26.791666666666668,8.8,15.854166666666666,22.8,14.0
2008-01-16,9.938074999999998,27.958333333333332,7.8,15.120833333333332,22.1,14.3
2008-01-17,10.041158333333334,25.666666666666668,7.2,14.691666666666668,22.0,14.8
2008-01-18,10.022083333333333,23.416666666666668,6.5,14.525,22.4,15.9
2008-01-19,10.041261111111112,20.625,7.9,15.208333333333334,22.8,14.9
2008-01-20,10.061713888888889,25.208333333333332,7.1,14.329166666666666,21.0,13.9
2008-01-21,10.06205,31.916666666666668,6.0,13.775,21.0,15.0
2008-01-22,10.084227777777778,35.583333333333336,5.9,13.808333333333332,20.9,14.999999999999998
